,tenure,OnlineSecurity,Contract,MonthlyCharges,TotalCharges
1874,43.0,2,2,86.45,2614
264,45.0,2,1,113.3,3574
1634,63.0,2,2,59.0,2696
1354,18.0,0,0,88.35,968
2364,14.0,0,0,82.65,306
4247,69.0,2,2,106.35,4708
6058,11.0,0,0,45.9,3662
843,13.0,2,0,30.85,2831
4547,62.0,2,0,105.5,4343
6158,2.0,1,0,19.65,2284
3105,26.0,0,0,49.15,384
4727,60.0,1,2,20.5,326
712,58.0,1,2,24.7,821
5924,62.0,1,2,20.65,356
5471,29.0,0,0,74.2,1387
1868,1.0,0,0,44.05,3133
5381,32.0,0,0,78.9,1798
844,1.0,0,0,89.9,5253
6813,64.0,2,2,47.85,2319
223,4.0,0,0,50.05,1150
4289,54.0,1,2,20.1,137
3791,6.0,0,0,69.1,3100
5510,18.0,0,0,101.3,1157
6006,23.0,0,0,30.35,4479
359,42.0,2,1,97.1,2880
6946,48.0,0,0,45.55,1504
5060,18.0,0,0,35.2,4149
1466,12.0,2,0,49.2,3938
3108,43.0,2,1,106.0,3240
552,55.0,1,2,19.35,258
6036,53.0,2,1,110.5,4019
371,2.0,0,0,85.65,1176
2242,44.0,1,1,24.85,29
1258,47.0,1,2,20.15,77
676,48.0,1,1,24.55,331
1900,4.0,1,2,19.9,4852
1218,24.0,0,0,90.55,1656
1447,4.0,0,0,80.8,2433
231,50.0,2,0,93.5,3369
5302,10.0,0,0,65.5,4201
3522,37.0,1,1,19.8,4473
6841,5.0,2,0,55.75,1982
3067,6.0,0,0,84.4,3857
4947,26.0,0,0,98.35,1864
872,66.0,1,2,19.95,436
5637,64.0,0,1,90.25,3894
538,69.0,0,1,95.65,4464
343,63.0,1,1,20.5,524
6069,59.0,0,1,76.75,3250
6575,22.0,2,0,59.05,412
6212,15.0,0,1,50.75,4532
3095,11.0,0,0,84.8,5243
3909,11.0,1,2,19.55,1605
3494,9.0,0,0,85.35,4826
6831,7.0,0,0,86.8,4218
5463,1.0,0,0,44.35,3138
141,8.0,2,0,71.15,3897
1425,12.0,0,0,74.15,4777
1694,1.0,0,0,34.7,2484
4486,61.0,0,0,89.2,3824
6828,8.0,1,2,19.05,1418
276,52.0,0,0,105.05,3893
5947,33.0,1,2,24.5,4772
784,63.0,2,1,40.6,1920
6827,60.0,2,0,79.05,3310
3696,6.0,0,0,49.15,2015
108,43.0,0,1,94.35,2824
3926,11.0,0,0,34.7,2758
977,11.0,0,0,75.25,5242
6930,3.0,0,0,75.15,1534
586,52.0,2,2,63.25,2450
6205,42.0,0,0,95.25,2847
4660,2.0,1,0,19.5,2286
696,72.0,0,2,85.15,4271
2496,18.0,1,2,20.05,2792
3655,32.0,1,0,19.4,4317
5344,71.0,2,2,76.9,3838
242,41.0,2,1,74.7,2344
4183,1.0,0,0,33.6,2419
5172,54.0,1,2,20.0,253
514,30.0,2,0,95.0,2102
6045,38.0,1,1,19.6,4865
4932,27.0,2,1,80.65,1589
3459,30.0,1,2,25.1,4962
6702,18.0,0,0,85.6,927
3858,47.0,2,1,86.95,2963
2988,72.0,2,2,109.65,4957
6295,48.0,1,2,20.2,52
809,1.0,0,0,69.55,4551
874,45.0,0,2,99.7,3299
5636,14.0,0,0,46.35,4429
5869,44.0,0,1,94.4,3059
5399,50.0,1,1,19.75,5428
1734,9.0,0,0,45.4,2997
1479,44.0,0,1,49.05,1642
5369,34.0,1,0,20.35,4457
2325,4.0,1,0,19.95,5086
3606,70.0,0,1,101.75,4637
3079,4.0,0,0,68.65,1938
404,20.0,1,2,19.7,3000
3130,24.0,2,1,74.4,1060
1737,7.0,0,0,44.25,2304
6616,43.0,0,0,101.4,3237
5378,58.0,2,2,75.8,3152
4863,57.0,1,2,20.75,212
6858,25.0,0,0,89.1,1718
5313,56.0,0,0,89.7,3517
7035,19.0,0,0,78.7,783
7042,66.0,2,2,105.65,4515
2904,25.0,0,0,70.95,1124
848,72.0,2,2,92.0,4482
5151,2.0,1,0,20.35,2557
2537,72.0,2,2,113.4,5071
6699,54.0,1,2,20.5,65
2616,6.0,0,0,44.6,1930
420,5.0,1,0,24.3,512
5892,10.0,2,0,51.65,3684
2974,28.0,2,0,94.5,1978
6097,72.0,2,2,81.0,3970
2684,69.0,0,1,105.2,4754
4621,6.0,2,0,49.45,2313
2858,10.0,1,0,20.55,1867
4319,65.0,2,1,110.0,4672
445,60.0,0,0,105.9,4312
1970,7.0,0,0,81.1,3974
3691,40.0,0,1,63.9,1957
1074,1.0,1,0,21.1,1498
4770,6.0,1,1,19.7,5355
2694,8.0,1,0,19.65,1038
5518,30.0,2,0,94.4,2091
5317,6.0,0,0,49.65,1988
4877,30.0,2,1,74.65,1672
2264,70.0,2,2,114.95,4891
5556,13.0,0,0,79.8,5415
4657,42.0,0,0,25.1,173
5226,12.0,1,0,21.15,2252
623,20.0,1,2,19.7,2911
3395,62.0,2,0,90.7,3869
6990,36.0,2,0,93.6,2466
4614,7.0,1,0,20.25,709
1545,63.0,0,2,104.75,4365
3149,8.0,0,0,64.1,3580
6767,57.0,2,0,55.7,2334
7009,23.0,0,0,81.0,1316
775,72.0,2,2,110.65,5034
6597,7.0,0,0,70.75,3215
3008,11.0,1,1,20.0,1505
6983,23.0,0,0,83.2,1443
6127,56.0,2,1,109.8,4172
4763,58.0,0,0,91.55,3829
1719,3.0,0,0,107.95,2339
3695,32.0,0,0,98.85,2270
5255,31.0,0,0,76.05,1604
1072,22.0,0,2,56.75,493
2424,57.0,2,2,112.95,4337
4786,72.0,0,2,103.65,4866
454,61.0,1,2,24.4,673
1415,64.0,2,1,100.3,4404
5345,26.0,0,0,89.8,1693
2770,17.0,0,0,92.55,818
6935,65.0,0,2,110.8,4702
2285,53.0,2,0,93.9,3571
730,45.0,0,0,87.25,2833
2934,12.0,1,0,19.4,1368
2047,3.0,2,0,77.4,1459
1064,14.0,2,1,55.7,4989
4567,34.0,0,0,105.35,2589
3778,3.0,0,0,50.4,582
4944,10.0,1,0,24.4,1872
5448,41.0,2,1,101.6,2829
1363,72.0,2,2,92.0,4340
1877,72.0,2,2,88.55,4290
5894,45.0,0,0,100.85,3366
5414,64.0,0,1,105.65,4562
7040,11.0,2,0,29.6,2526
4086,72.0,2,2,79.2,3765
6239,72.0,0,2,99.4,4716
6256,1.0,0,0,35.05,2556
6924,1.0,0,0,69.35,4548
2764,30.0,2,0,67.6,1410
6718,3.0,0,0,75.0,1488
6644,61.0,0,1,96.5,3918
6754,0.0,2,2,61.9,0
2485,14.0,0,0,80.45,127
2140,33.0,0,0,86.15,2042
3739,24.0,1,1,24.6,4057
5041,20.0,1,1,20.65,2986
1935,51.0,1,1,19.85,5444
2084,1.0,0,0,69.75,4555
5506,1.0,1,0,20.2,1394
4610,72.0,2,1,117.8,5220
618,57.0,2,0,87.55,3458
6582,71.0,2,2,106.75,4715
1232,34.0,0,0,78.3,1904
6802,20.0,2,0,89.1,1253
3963,68.0,1,2,19.6,715
1724,3.0,0,0,94.9,2035
26,47.0,0,0,99.35,3373
1359,9.0,0,0,94.75,5244
3490,8.0,0,0,51.05,2971
1889,14.0,0,0,31.1,3001
6024,3.0,0,0,91.5,1772
5265,66.0,0,1,88.9,4114
553,23.0,1,2,25.6,3629
5724,1.0,0,0,71.35,4649
3217,2.0,1,0,20.45,3007
6113,21.0,0,0,75.3,894
3392,58.0,0,1,44.1,1763
3540,72.0,2,2,108.65,4898
3752,55.0,2,2,59.2,2336
5228,9.0,0,0,44.4,2544
3453,70.0,0,1,97.65,4586
4712,50.0,2,1,108.25,3779
1348,10.0,0,0,79.95,5192
3462,7.0,0,0,85.2,4123
4814,22.0,0,0,90.0,1388
237,18.0,0,0,73.15,494
772,1.0,1,0,19.9,1290
802,39.0,1,2,23.8,5282
5050,66.0,2,2,106.05,4585
2805,60.0,2,2,59.85,2548
5964,49.0,2,0,61.75,2226
424,10.0,2,0,40.7,3194
4267,72.0,2,2,91.15,4416
3556,6.0,1,1,19.45,226
6425,52.0,2,1,44.25,1650
608,72.0,2,2,114.55,5115
6029,4.0,2,0,94.9,2632
6227,2.0,0,0,46.05,5012
2492,13.0,2,0,54.45,4634
4459,1.0,0,0,100.25,2
41,70.0,2,2,69.2,3453
4742,72.0,1,2,20.8,828
5538,1.0,0,0,81.1,5044
6237,1.0,0,0,69.95,4559
1757,54.0,0,2,79.95,3109
2763,64.0,2,0,81.05,3625
6866,1.0,0,0,95.45,5373
2062,66.0,1,2,25.15,1027
4560,9.0,0,1,90.35,4877
2963,34.0,1,1,25.6,5302
5180,68.0,2,2,64.35,3245
1704,1.0,0,0,99.75,5432
3827,2.0,1,1,20.45,2486
212,61.0,1,2,19.75,214
682,3.0,2,0,64.4,1344
3593,8.0,0,0,70.1,3828
5278,56.0,2,0,109.6,4079
2826,13.0,0,1,43.8,4057
3115,13.0,0,0,84.45,99
837,1.0,0,0,44.4,3139
3342,40.0,2,1,62.05,1861
3408,4.0,0,0,50.7,810
2187,71.0,2,2,116.25,5191
5514,1.0,2,0,48.45,3399
2542,35.0,0,1,72.1,1835
3746,1.0,0,0,68.95,4496
5943,1.0,0,0,84.85,5150
2543,13.0,2,0,98.15,375
5975,7.0,0,0,89.75,4156
3212,40.0,0,0,80.0,2331
1885,24.0,2,0,70.3,1051
4245,63.0,1,2,19.7,448
453,28.0,0,0,81.05,1603
5155,30.0,0,1,94.4,1959
3092,1.0,0,0,25.1,1841
5733,71.0,1,2,19.85,520
6251,1.0,1,0,19.25,1278
5004,64.0,0,0,111.15,4577
1291,8.0,2,0,75.0,4273
5332,47.0,2,1,58.9,2083
6194,68.0,0,1,83.65,3961
2114,40.0,2,0,61.9,1964
2833,66.0,2,2,61.15,2882
2136,15.0,0,0,91.0,697
1458,1.0,1,0,20.55,1401
2265,12.0,0,0,112.95,609
2438,8.0,2,0,103.35,5164
2423,18.0,1,1,20.1,2917
4648,2.0,0,0,70.3,707
1803,36.0,2,2,53.1,1298
422,29.0,0,1,100.55,2088
807,71.0,2,2,108.55,4860
3352,1.0,0,0,85.45,5172
1372,23.0,0,0,95.3,1563
3182,45.0,0,2,95.2,3058
2828,1.0,1,2,20.45,1399
4285,45.0,2,2,73.85,2471
4717,38.0,2,1,110.7,3159
5902,9.0,0,0,50.85,3309
1533,14.0,0,0,75.35,50
3480,70.0,1,2,19.85,702
3901,67.0,0,2,111.3,4841
3090,1.0,0,0,53.5,3712
1849,10.0,0,0,45.55,2886
1680,56.0,1,1,24.45,700
5655,65.0,1,2,25.1,1074
1252,1.0,1,0,19.45,1281
6614,71.0,1,2,19.7,486
6118,72.0,2,2,118.2,5186
2743,67.0,2,2,111.05,4731
1121,50.0,2,1,82.5,2992
4607,1.0,0,0,59.55,4046
2027,24.0,1,1,20.15,3261
2109,34.0,1,2,26.1,5424
3399,42.0,0,2,78.45,2472
2098,2.0,2,0,90.75,1096
1973,72.0,2,2,80.8,3952
4346,42.0,2,0,66.4,2032
550,72.0,2,2,110.3,4994
2178,53.0,1,2,19.9,190
4028,63.0,2,2,109.2,4631
3263,52.0,0,0,85.8,3161
4118,40.0,0,0,74.8,2175
3979,66.0,1,2,25.3,1008
3949,18.0,2,0,57.65,5438
2681,46.0,2,2,40.4,1212
3718,57.0,2,0,99.65,3809
3698,59.0,0,0,83.25,3515
6294,1.0,1,0,19.7,1286
4160,26.0,2,1,75.0,1304
5380,2.0,0,0,80.25,710
6269,35.0,0,0,33.45,291
2410,43.0,0,0,80.45,2482
5574,41.0,1,0,20.45,4903
2683,7.0,2,0,79.65,4133
1352,72.0,2,2,60.95,3254
4633,72.0,1,2,24.05,1053
1011,71.0,2,2,58.65,2968
4645,33.0,0,0,104.4,2493
5106,52.0,0,0,59.45,2238
2054,2.0,0,0,49.4,102
5425,30.0,0,0,100.45,2281
167,72.0,2,2,89.05,4241
5766,23.0,0,1,60.0,558
3345,72.0,0,1,101.35,4733
6260,13.0,0,2,35.4,3213
1438,40.0,0,1,50.25,1437
3927,3.0,1,0,20.55,3605
1096,7.0,2,0,81.25,4000
2937,64.0,0,1,92.85,4098
5969,31.0,2,0,87.6,2029
1010,3.0,2,0,50.15,923
1357,48.0,2,0,111.45,3725
3902,1.0,2,0,29.9,2129
5191,23.0,2,2,91.1,1568
4291,64.0,2,2,110.3,4593
1539,4.0,2,0,50.3,1542
1215,3.0,0,0,80.3,1851
3701,27.0,1,2,24.5,4857
2101,37.0,2,1,99.2,2714
6981,8.0,0,0,65.45,3848
450,64.0,1,1,24.7,975
5363,70.0,1,2,25.35,1065
4649,72.0,2,2,108.95,4951
5820,60.0,2,1,59.8,2602
1812,17.0,0,1,96.65,907
4480,1.0,0,0,69.4,4549
1496,3.0,1,0,20.25,4168
3513,11.0,1,0,20.95,1988
6646,51.0,1,1,19.4,5445
6671,59.0,0,2,100.05,4130
71,52.0,1,1,20.4,164
6752,12.0,2,2,49.85,3833
4502,55.0,0,0,96.8,3701
3799,31.0,2,0,65.25,1389
4169,15.0,0,0,101.25,740
1932,1.0,1,0,20.2,1394
1800,1.0,0,0,43.85,3068
1790,12.0,0,0,78.1,5365
3938,2.0,2,0,50.95,372
2513,52.0,1,2,19.2,91
3944,9.0,1,1,20.25,1071
6931,58.0,2,1,99.15,3949
2980,72.0,1,2,25.45,1241
556,1.0,1,0,19.9,1290
3300,33.0,1,1,20.1,3990
1931,53.0,0,1,111.8,4001
5176,26.0,2,0,45.8,250
1933,20.0,1,1,19.7,2975
3719,28.0,1,1,18.25,3737
1198,42.0,1,2,20.75,5157
1511,67.0,1,2,19.25,588
2822,41.0,2,0,79.9,2439
4902,24.0,2,0,56.35,606
4097,64.0,0,0,99.15,4208
6020,34.0,2,1,61.25,1386
2693,72.0,1,2,19.3,666
2896,13.0,1,1,19.95,1871
1823,19.0,0,0,73.85,686
569,11.0,0,1,40.4,3020
3852,1.0,1,0,19.65,1285
6336,57.0,0,0,74.3,2883
3741,72.0,2,2,104.9,4901
1888,23.0,0,1,55.8,523
6262,45.0,2,1,96.75,3163
1396,64.0,0,1,100.05,4240
4263,72.0,2,2,115.55,5120
2533,67.0,2,2,50.9,2411
1601,46.0,0,1,94.65,3078
2437,7.0,2,0,61.4,3122
3737,5.0,0,0,50.6,1831
4322,2.0,0,0,70.15,374
3437,41.0,0,1,56.3,1717
4881,28.0,0,0,76.55,1463
5216,48.0,0,1,34.7,928
530,24.0,1,2,21.1,3481
1156,53.0,1,2,18.7,12
990,56.0,2,2,80.3,3224
3274,34.0,0,0,105.1,2651
4782,5.0,0,0,78.75,3041
323,9.0,2,1,48.6,3018
6906,25.0,1,2,18.7,2759
2697,71.0,2,2,87.95,4292
806,18.0,0,0,55.2,97
2130,51.0,2,1,94.8,3427
4699,49.0,2,2,106.65,3641
5480,1.0,0,0,45.4,3204
3414,47.0,2,2,41.9,1251
4424,1.0,0,0,24.75,1752
25,30.0,2,0,55.3,840
1333,50.0,2,1,35.4,1109
3245,23.0,0,0,83.8,1296
4064,1.0,2,0,50.15,3543
142,61.0,0,2,101.05,4093
2786,27.0,2,1,56.2,890
3174,58.0,0,1,45.0,2004
77,8.0,2,0,54.65,3417
1596,2.0,0,0,70.35,328
859,72.0,2,2,64.8,3353
5116,1.0,0,0,70.4,4601
1495,52.0,2,0,98.15,3538
4843,69.0,1,2,20.2,596
355,10.0,0,0,80.25,5161
5568,44.0,2,0,95.1,2912
3331,0.0,1,2,19.85,0
2211,50.0,2,1,104.4,3677
846,65.0,2,2,84.85,3794
3997,69.0,0,2,61.45,2954
6674,7.0,1,0,23.5,1079
1386,64.0,0,2,86.55,3898
4281,50.0,2,0,35.0,1142
5797,19.0,2,0,88.8,1008
6377,1.0,0,0,44.65,3143
3913,72.0,1,2,24.8,1250
1641,72.0,2,2,87.1,4228
3532,15.0,0,0,59.45,5258
4251,24.0,2,2,52.5,336
3210,64.0,2,1,65.8,2915
2871,14.0,0,0,86.1,383
4478,3.0,0,0,54.2,637
4854,18.0,0,1,46.4,5057
3722,23.0,2,1,40.65,5366
2993,1.0,1,1,20.4,1398
6907,41.0,0,0,70.25,2107
6803,43.0,2,1,91.25,2876
5175,20.0,1,1,20.35,2827
5864,47.0,1,2,19.65,5314
5788,4.0,0,0,25.15,5433
106,72.0,2,1,104.15,4728
2383,21.0,0,0,26.05,3909
2072,39.0,1,1,19.35,4915
3359,21.0,1,0,19.95,2981
6516,1.0,0,0,48.95,3403
2353,3.0,0,0,80.35,1871
3795,12.0,0,0,81.45,5294
4918,51.0,1,2,19.55,151
1953,1.0,0,0,75.35,4807
6044,12.0,0,0,76.6,5260
6329,46.0,0,2,104.4,3485
3712,44.0,2,1,65.4,2056
6877,1.0,0,0,69.7,4554
5427,31.0,2,0,84.75,1941
825,16.0,0,0,89.45,698
2651,24.0,0,0,90.35,1615
4255,13.0,0,1,75.3,5429
5997,6.0,0,0,89.75,3834
1246,45.0,2,0,105.15,3361
703,2.0,1,0,20.55,2419
4323,32.0,0,1,84.05,2061
5311,6.0,1,0,19.5,743
1469,37.0,0,0,98.8,2540
5371,54.0,2,1,103.95,3901
4060,54.0,0,2,63.35,2492
1840,65.0,2,2,108.65,4572
5657,18.0,0,0,94.75,1040
6787,35.0,0,0,109.95,2733
4638,2.0,0,0,75.55,996
4643,3.0,0,0,65.25,1489
338,36.0,0,0,94.8,2605
4505,72.0,1,2,26.0,1127
6794,43.0,1,2,19.55,5231
2555,8.0,2,0,60.0,3450
3368,46.0,0,1,94.15,3151
2307,9.0,0,1,65.6,4064
6088,1.0,0,0,55.4,3817
4456,68.0,1,2,24.95,940
5343,52.0,2,2,66.25,2444
4546,12.0,0,0,84.5,5301
3683,71.0,2,2,54.5,2730
2149,46.0,0,1,101.1,3322
1510,71.0,2,2,80.4,3950
5868,1.0,0,0,44.0,3132
3434,11.0,2,1,54.6,4207
6940,72.0,2,2,55.65,2793
2643,33.0,0,0,83.35,2048
3941,7.0,1,0,20.25,1095
1117,52.0,0,2,89.45,3267
1587,48.0,1,2,26.3,398
6579,72.0,2,2,84.3,4106
1971,20.0,1,1,19.35,3089
1853,1.0,0,0,45.15,3201
1034,71.0,2,2,81.85,4060
456,28.0,0,1,92.9,2053
170,43.0,2,1,84.25,2587
381,1.0,0,0,50.65,3549
1895,68.0,2,2,86.5,4032
1229,61.0,2,2,75.35,3357
485,72.0,0,2,84.5,4185
3202,1.0,0,0,55.25,3815
940,24.0,1,1,21.05,3722
4115,53.0,2,1,77.4,2978
5181,72.0,2,2,90.8,4313
3570,16.0,1,2,20.5,2130
5687,43.0,2,1,90.65,2794
4728,46.0,2,2,38.25,1112
1706,69.0,0,2,97.65,4463
3324,1.0,0,0,75.55,4810
6054,36.0,0,0,97.35,2524
2336,17.0,0,0,70.4,347
5691,4.0,1,1,19.95,4489
3316,26.0,2,1,47.85,316
5880,3.0,0,0,29.6,4968
6022,20.0,1,0,18.9,2534
3235,61.0,2,1,43.7,2007
4422,30.0,0,1,97.0,2221
3160,69.0,2,2,46.25,2297
80,1.0,0,0,79.35,4967
100,1.0,1,0,20.2,1394
984,72.0,1,2,23.75,1014
2910,35.0,1,2,25.4,5369
4848,5.0,0,0,93.9,3442
5143,49.0,2,1,87.2,3096
971,49.0,2,0,93.85,3362
3317,63.0,2,1,70.8,3168
3415,68.0,0,1,83.0,3925
2676,29.0,1,1,20.35,4205
3192,58.0,1,2,19.15,64
3025,67.0,1,2,26.3,1033
4006,72.0,1,2,19.8,665
3837,4.0,0,1,105.65,3160
5430,10.0,0,0,72.15,4987
1119,70.0,2,2,59.5,2966
2626,60.0,2,1,50.05,2137
4019,14.0,0,0,100.55,668
2784,4.0,0,0,98.1,2848
6598,57.0,2,2,74.3,2985
1531,35.0,1,0,25.75,5237
3001,9.0,1,0,20.4,1178
5956,31.0,0,0,89.9,2079
4081,1.0,0,0,69.6,4552
1436,2.0,0,0,91.4,1325
5301,29.0,0,0,89.2,2009
5752,69.0,1,2,26.0,1159
562,7.0,2,0,69.7,3636
4640,1.0,0,0,70.0,4594
5212,72.0,2,2,38.5,2050
6376,66.0,1,2,19.35,392
6712,28.0,0,0,85.45,1660
1295,70.0,2,2,80.6,3797
4089,9.0,0,0,74.75,4633
5632,58.0,1,2,20.3,233
3482,19.0,0,0,45.0,5211
1722,51.0,0,1,56.4,2145
2857,47.0,0,2,63.8,2204
6248,60.0,0,2,60.8,2634
3401,56.0,1,2,19.55,144
3190,66.0,0,2,54.65,2650
4181,62.0,0,0,101.35,4203
4917,15.0,1,0,19.6,2191
1828,42.0,1,1,25.05,5370
3559,27.0,1,2,19.85,3342
4393,21.0,0,0,86.5,1174
2430,30.0,2,2,55.65,988
5334,49.0,0,2,107.95,3707
3509,1.0,0,0,44.9,3147
5672,49.0,2,1,71.8,2537
7030,2.0,1,0,20.05,2809
3960,3.0,0,0,57.55,931
6,22.0,0,0,89.1,1342
2992,12.0,0,0,34.0,3154
842,12.0,1,1,19.8,1664
2350,5.0,0,0,84.0,3034
4278,48.0,0,1,97.05,3337
6485,64.0,2,0,73.55,3384
7026,9.0,0,0,44.2,2894
5466,10.0,1,1,19.95,1560
6624,64.0,2,2,60.05,2767
6482,1.0,0,0,101.45,20
1307,36.0,2,1,75.55,1996
5020,41.0,1,2,19.85,5050
2705,72.0,1,2,25.65,1262
1795,19.0,0,0,89.65,1120
5440,19.0,0,0,49.6,5399
2284,3.0,2,0,55.9,891
5688,41.0,1,2,20.0,5235
2446,18.0,0,0,90.0,834
6204,13.0,0,0,25.15,2430
4893,2.0,0,0,44.65,4769
2969,65.0,2,2,109.3,4740
3155,29.0,1,1,19.85,3739
1379,70.0,2,2,44.6,2249
1779,2.0,2,0,91.15,1019
6297,64.0,2,1,113.35,4694
6384,10.0,1,1,20.1,1206
6184,41.0,0,0,55.7,1614
3729,62.0,1,2,20.05,329
279,5.0,0,0,50.55,1790
6531,25.0,0,0,65.8,1016
67,31.0,0,2,79.2,1837
721,61.0,1,2,20.55,494
1509,17.0,0,0,76.65,506
5352,26.0,0,0,98.65,1878
6823,4.0,2,0,50.55,1711
6339,1.0,0,0,49.9,3478
2753,1.0,0,0,95.65,5376
4571,20.0,0,0,69.8,856
339,63.0,0,0,103.4,4403
1350,67.0,2,2,65.65,3083
2779,9.0,0,0,85.35,4844
6159,2.0,1,1,20.5,2741
2341,68.0,2,2,114.9,4939
490,63.0,0,2,104.8,4398
2058,72.0,2,2,86.65,4225
1972,23.0,0,0,85.6,1243
3665,71.0,2,2,99.0,4591
6672,27.0,1,2,20.35,3723
6170,1.0,1,0,19.4,1280
1904,56.0,0,0,94.45,3619
4087,10.0,1,0,20.9,1818
258,2.0,0,0,44.6,5014
1118,48.0,2,0,105.25,3540
1567,10.0,0,0,67.8,4361
5316,49.0,0,1,93.65,3232
4405,6.0,0,0,83.55,3387
2222,38.0,0,0,101.15,2842
3003,27.0,0,0,79.5,1550
5761,48.0,2,2,39.4,1367
4152,65.0,2,2,76.15,3505
1180,39.0,0,2,49.8,1363
2158,57.0,2,2,84.5,3429
2527,9.0,0,0,83.3,5024
427,10.0,0,0,85.95,5196
5336,1.0,1,0,19.1,1275
4433,4.0,0,0,75.65,2218
5555,70.0,1,2,19.8,600
2960,22.0,2,0,100.75,1494
2138,54.0,2,2,69.95,2787
4927,30.0,1,2,19.05,4296
3851,46.0,1,2,19.25,5205
4238,57.0,1,1,19.4,107
5714,4.0,0,0,97.95,2765
6455,59.0,0,0,44.3,1985
4300,24.0,1,1,24.6,4138
3218,68.0,0,1,79.6,3798
2068,47.0,2,0,100.75,3315
6910,70.0,2,2,114.6,4959
2982,52.0,1,1,20.85,126
1665,9.0,0,0,76.85,4413
216,72.0,2,2,45.25,2310
6589,68.0,1,2,25.8,1309
5179,3.0,0,0,69.35,1307
3314,37.0,0,1,80.05,2215
6146,25.0,0,0,99.5,1719
2359,33.0,2,0,72.75,1797
3669,44.0,2,0,111.5,3492
3839,15.0,1,0,20.05,2095
2466,60.0,1,2,20.55,332
4430,32.0,2,0,61.4,1240
6943,1.0,2,0,30.5,2195
4804,61.0,2,1,118.6,4749
0,1.0,0,0,29.85,2128
2628,1.0,2,0,83.4,5109
1654,1.0,1,1,18.8,1165
5239,68.0,0,1,105.75,4732
5446,1.0,1,0,19.65,1285
3609,61.0,0,1,103.95,4323
506,11.0,0,0,78.0,5177
5292,46.0,0,1,33.7,846
3825,52.0,1,2,19.35,59
2183,2.0,0,0,50.2,157
4119,35.0,1,1,19.15,4301
5095,55.0,0,1,45.05,1816
1008,32.0,2,0,99.55,2356
1913,65.0,0,1,95.5,4198
6211,5.0,0,0,85.75,3345
2169,62.0,2,2,81.0,3534
2751,19.0,0,0,24.85,3095
4273,31.0,0,0,79.85,1756
5566,72.0,0,2,82.15,3987
5479,9.0,0,0,69.05,4350
3755,4.0,0,0,76.05,2340
6080,1.0,2,0,29.7,2127
5922,72.0,2,2,105.25,4855
4240,8.0,0,0,94.0,4900
3787,58.0,0,0,95.3,4010
4896,24.0,0,0,49.7,279
5035,20.0,0,0,78.8,973
700,66.0,0,2,63.3,2999
1412,15.0,0,0,84.3,496
1476,2.0,1,0,20.25,2630
3915,59.0,2,1,81.25,3300
1615,49.0,1,1,20.05,5315
3757,42.0,0,2,66.5,2049
3835,24.0,1,1,19.9,3731
865,4.0,0,0,80.6,2345
6873,68.0,2,2,89.05,4211
2229,4.0,0,0,70.5,2156
5164,7.0,2,0,53.65,2900
1769,71.0,0,0,93.25,4428
5900,37.0,2,0,40.2,730
4047,64.0,2,2,94.6,4075
5798,5.0,0,0,85.2,3365
1068,49.0,0,0,99.05,3434
1992,17.0,0,0,83.55,526
2591,57.0,0,0,100.6,3887
4561,8.0,0,0,55.75,3180
3939,1.0,0,0,78.65,4921
1813,1.0,0,0,75.5,4809
3528,16.0,1,0,19.7,2505
899,50.0,2,0,94.4,3491
4394,19.0,0,0,59.55,247
4001,45.0,0,2,109.75,3482
3151,15.0,2,0,75.1,255
2342,30.0,2,0,106.4,2367
3592,1.0,0,0,45.65,3207
1356,9.0,0,0,75.2,4279
5718,6.0,0,0,80.5,3295
6307,32.0,1,0,19.9,4117
2882,11.0,0,0,64.9,4679
1445,20.0,0,0,98.55,1442
2425,26.0,1,0,20.3,3611
236,10.0,0,2,29.6,2188
1845,69.0,0,1,35.75,1833
729,65.0,0,2,74.2,3409
2568,15.0,1,2,19.35,2059
1739,1.0,0,0,69.9,4558
953,15.0,2,0,58.95,5384
4088,7.0,0,0,73.6,3652
2883,68.0,1,2,25.75,1030
6969,1.0,1,0,20.5,1400
2227,58.0,1,1,19.55,186
162,2.0,0,0,69.7,563
221,71.0,1,2,24.75,1199
6300,67.0,1,2,24.9,1023
6290,71.0,0,2,93.7,4387
4076,70.0,2,2,99.35,4574
3101,58.0,2,0,79.8,3235
5678,1.0,2,0,60.0,4108
4916,2.0,0,0,79.55,812
6686,72.0,0,2,109.75,4907
4239,56.0,0,1,36.1,1364
2507,71.0,1,2,24.5,1185
818,21.0,0,0,111.2,1677
2293,72.0,0,2,85.95,4195
5170,1.0,1,0,19.65,1285
4635,40.0,1,2,20.15,4911
2680,71.0,2,2,85.45,4126
6665,43.0,0,0,29.3,368
2866,12.0,0,0,84.6,32
1760,50.0,0,1,54.9,1942
438,35.0,0,0,89.85,2325
5421,38.0,1,2,20.05,4778
3044,1.0,0,0,45.4,3204
897,53.0,0,2,105.55,3924
5612,45.0,2,1,62.55,2070
1201,12.0,0,0,49.4,4175
3298,4.0,1,0,20.05,5108
5866,3.0,1,0,19.65,4490
2331,25.0,1,1,26.8,4736
5994,42.0,2,0,105.2,3150
6761,1.0,1,0,19.9,1290
1582,56.0,2,1,65.2,2572
4837,1.0,0,0,69.8,4556
6473,1.0,0,0,94.4,5354
820,61.0,0,0,106.35,4468
2155,30.0,0,0,85.0,1949
6832,53.0,1,2,20.9,249
